time	V(n015)	V(n017)
4.386156457755462e-003	-1.081483e+001	-1.103543e-006
4.390853965968397e-003	-1.078455e+001	-1.103534e-006
4.395549565633324e-003	-1.074873e+001	-1.103524e-006
4.399417459329263e-003	-1.071638e+001	-1.103516e-006
4.404349659358326e-003	-1.067295e+001	-1.103503e-006
4.408868972327579e-003	-1.063178e+001	-1.103492e-006
4.415737880812538e-003	-1.056722e+001	-1.103474e-006
4.424429730187424e-003	-1.048242e+001	-1.103450e-006
4.441813428937196e-003	-1.030371e+001	-1.103401e-006
4.476580826436739e-003	-9.927073e+000	-1.103296e-006
4.525408951436739e-003	-9.386675e+000	-1.103147e-006
4.574237076436739e-003	-8.870910e+000	-1.103006e-006
4.623065201436739e-003	-8.426846e+000	-1.102886e-006
4.671893326436739e-003	-8.085269e+000	-1.102793e-006
4.705185994808732e-003	-7.924272e+000	-1.102750e-006
4.721459648338485e-003	-7.876965e+000	-1.102738e-006
4.738977026705706e-003	-7.853723e+000	-1.102731e-006
4.760897429289280e-003	-7.855531e+000	-1.102732e-006
4.782739137219729e-003	-7.895547e+000	-1.102743e-006
4.818164976292546e-003	-8.039267e+000	-1.102781e-006
4.866993101292546e-003	-8.356693e+000	-1.102867e-006
4.915821226292545e-003	-8.790088e+000	-1.102984e-006
4.964649351292545e-003	-9.310652e+000	-1.103127e-006
5.013477476292545e-003	-9.870045e+000	-1.103281e-006
5.062305601292545e-003	-1.042723e+001	-1.103435e-006
5.081454729230025e-003	-1.063465e+001	-1.103493e-006
5.093672332794353e-003	-1.075772e+001	-1.103527e-006
5.100813347873344e-003	-1.082239e+001	-1.103545e-006
5.104845145244471e-003	-1.085070e+001	-1.103553e-006
5.109634873007477e-003	-1.087255e+001	-1.103559e-006
5.114085943735598e-003	-1.088501e+001	-1.103563e-006
5.119109538705640e-003	-1.089412e+001	-1.103565e-006
5.124967590763065e-003	-1.090147e+001	-1.103567e-006
5.136683694877916e-003	-1.091137e+001	-1.103570e-006
5.151780759334874e-003	-1.091953e+001	-1.103572e-006
5.177038214663181e-003	-1.092719e+001	-1.103574e-006
5.212754593004367e-003	-1.093303e+001	-1.103576e-006
5.228347441960072e-003	-1.093427e+001	-1.103576e-006
5.244800129287227e-003	-1.093462e+001	-1.103576e-006
5.263066723190372e-003	-1.093426e+001	-1.103576e-006
