time	V(vin)	I(D1)	I(D2)	I(D6)
5.123098531967825e-002	4.610789e+000	1.476810e-004	1.266819e-002	5.307232e-004
5.132864156967825e-002	4.619578e+000	1.931927e-004	1.268729e-002	4.661234e-004
5.142629781967825e-002	4.628367e+000	2.436150e-004	1.269954e-002	4.034593e-004
5.152395406967825e-002	4.637156e+000	2.980666e-004	1.270542e-002	3.431377e-004
5.162161031967825e-002	4.645945e+000	3.558052e-004	1.270516e-002	2.856714e-004
5.171926656967826e-002	4.654734e+000	4.162306e-004	1.269872e-002	2.317037e-004
5.181692281967826e-002	4.663523e+000	4.788655e-004	1.268577e-002	1.820245e-004
5.191457906967826e-002	4.672312e+000	5.433310e-004	1.266579e-002	1.375556e-004
5.201223531967826e-002	4.681101e+000	6.093250e-004	1.263810e-002	9.926374e-005
5.210989156967826e-002	4.689890e+000	6.766053e-004	1.260214e-002	6.795628e-005
5.220754781967826e-002	4.698679e+000	7.449754e-004	1.255777e-002	4.397371e-005
5.230520406967826e-002	4.707469e+000	8.142740e-004	1.250553e-002	2.692853e-005
5.240286031967827e-002	4.716258e+000	8.843672e-004	1.244666e-002	1.571328e-005
5.250051656967827e-002	4.725047e+000	9.551434e-004	1.238277e-002	8.832621e-006
5.259817281967827e-002	4.733836e+000	1.026508e-003	1.231540e-002	4.839393e-006
5.269582906967827e-002	4.742625e+000	1.098382e-003	1.224576e-002	2.610194e-006
5.279348531967827e-002	4.751414e+000	1.170695e-003	1.217467e-002	1.395669e-006
5.289114156967827e-002	4.760203e+000	1.243389e-003	1.210263e-002	7.431218e-007
5.298879781967827e-002	4.768992e+000	1.316413e-003	1.202995e-002	3.950827e-007
5.308645406967828e-002	4.777781e+000	1.389721e-003	1.195683e-002	2.100975e-007
5.318411031967828e-002	4.786570e+000	1.463274e-003	1.188338e-002	1.118971e-007
5.328176656967828e-002	4.795359e+000	1.537037e-003	1.180967e-002	5.976984e-008
5.337942281967828e-002	4.804148e+000	1.610980e-003	1.173575e-002	3.207179e-008
5.347707906967828e-002	4.812937e+000	1.685074e-003	1.166167e-002	1.734552e-008
5.357473531967828e-002	4.821726e+000	1.759296e-003	1.158746e-002	9.486950e-009
5.377004781967829e-002	4.839304e+000	1.908035e-003	1.143873e-002	3.046565e-009
5.393745853396400e-002	4.854371e+000	2.035881e-003	1.131088e-002	1.958567e-009
5.410486924824972e-002	4.869438e+000	2.163704e-003	1.118306e-002	1.099132e-009
5.427227996253543e-002	4.884505e+000	2.291503e-003	1.105526e-002	4.682605e-010
5.443969067682115e-002	4.899572e+000	2.419278e-003	1.092749e-002	6.595275e-011
5.460710139110687e-002	4.914639e+000	2.547030e-003	1.079974e-002	-1.077915e-010
